No.,お題,A,B,C,D,E,F,G
1,恋人に求める絶対条件,顔,性格,金銭感覚,酒のモチベ,連絡頻度,食の好み,休日の過ごし方
2,百万円手に入ったら？,貯金,旅行,投資,服など爆買い,高級ブランド品,ギャンブル,友達と焼肉
3,徹夜明けに一番沁みるもの,ラーメン,サウナ,味噌汁,風呂,ふかふかベッド,牛丼,そば
4,旅行で一番アガる瞬間,企画中,車内,現地の買い出し,飲みゲー,BBQ,観光,銭湯・サウナ
5,FPSで一番脳汁が出る瞬間,1vXクラッチ,連続HS,完璧な裏取り,フリックエイム,昇格戦勝利,実力でわからせる,味方のナイス
6,焼肉で最初に頼むメニュー,タン塩,肉刺し,ハラミ,キムチ,ビール,白米,チョレギサラダ
7,BBQの最強食材,ステーキ,ホタテ,焼きそば,かぼちゃ,タン,しいたけ,イカ
8,寿司屋で絶対頼むネタ,マグロ,サーモン,ハマチ,エビ,イクラ,エンガワ,卵
9,深夜のコンビニの誘惑,カップ麺,ホットスナック,アイス,菓子パン,スナック菓子,お酒,エナドリ
10,最後の晩餐,母親の手料理,超高級寿司,最高級ステーキ,行きつけラーメン,卵かけご飯,マクドナルド,丸亀うどん
11,旅行で一番重視すること,飯の美味さ,宿のクオリティ,アクティビティ,移動の楽さ,行くメンバー,写真映え,予算の安さ
12,絶対に嫌な罰ゲーム,激辛料理,一発ギャグ,恥ずかしい秘密暴露,SNS変な投稿,一曲作って歌う,過酷な筋トレ,女装
13,ついやってしまう無駄遣い,コンビニついで買い,ゲーム課金,セール衝動買い,サブスク解約忘れ,タクシー移動,外食,高すぎる趣味道具
14,朝起きて最初にやること,スマホを見る,トイレ,水・コーヒー,二度寝,伸びをする,歯を磨く,シャワー
15,自分へのご褒美,ちょっと高い外食,欲しかった物を買う,マッサージ,一日中ゲーム,旅行,高級な酒,ひたすら寝る
16,学生時代に戻りたい瞬間,文化祭,体育祭,修学旅行,放課後,休み時間,部活動,授業中
17,魔法が一つ使えるなら？,空を飛ぶ,瞬間移動,時間停止,過去に戻る,読心術,お金を出す,透明化
18,無人島に一つ持っていくなら？,サバイバルナイフ,ライター,浄水器,スマホ,テント,友達,麻紐
19,許せない他人の行動,時間にルーズ,店員への態度,食べ方が汚い,自慢話ばかり,話を聞かない,ドタキャン,連絡無視
20,一番欲しい才能,コミュ力,天才的な頭脳,プロの運動神経,絶対音感・センス,不老不死,鋼のメンタル,運の良さ
21,一生に一度はやりたいこと,世界一周,スカイダイビング,宇宙旅行,起業,テレビ出演,大富豪の豪遊,自分の店を持つ
22,ゾンビ襲来！最初の行動,武器を探す,食料買い占め,安全な場所に籠る,家族・友達と合流,SNSで情報収集,車を確保,諦めてゾンビ化
23,生まれ変わるなら？,イケメン/美女,大富豪の子供,鳥,猫,天才スポーツ選手,歴史上の偉人,もう一度自分
24,タイムマシンで行く時代,学生時代,バブル時代,江戸時代,百年後の未来,恐竜時代,自分が生まれる前,十年前のビットコイン
25,家での最強の暇つぶし,YouTube,漫画・アニメ,映画,ゲーム,睡眠,読書,筋トレ
26,世界最後の一日にやること,家族と過ごす,友達とバカ騒ぎ,好きな人に告白,全財産使い果たす,いつも通り過ごす,美味いもの食いまくる,ひたすら祈る
27,デスゲーム開始！最初の行動,リーダー格に取り入る,嘘ついて単独行動,とりあえず武器探し,ルールの抜け穴探し,弱そうな奴を盾に,狂ったフリで距離置く,主人公っぽい奴についていく
28,最強のおにぎりの具,ツナマヨ,鮭,梅干し,昆布,明太子,チャーハン,塩むすび
29,一千万円もらえるが絶対嫌な条件,一年間スマホ禁止,一生炭水化物抜き,一ヶ月無人島,嫌いな人と毎日サシ飲み,一生同じ服,一生音楽なし,黒歴史公開
30,お祭りの最強屋台,焼きそば,たこ焼き,りんご飴,かき氷,フランクフルト,ベビーカステラ,チョコバナナ
31,YouTuberになるならどのジャンル？,ゲーム実況,バラエティ・検証,ガジェットレビュー,旅行・Vlog,料理・飯テロ,怪談・都市伝説,ひたすら雑談
32,絶対にやりたくないバイト,真夏の交通整理,笑顔のテーマパーク,クレーム対応コールセンター,深夜ワンオペ牛丼屋,心霊スポット警備,引越し屋,虫の駆除
33,一生これしか飲めないなら？,コーラ,コーヒー,エナドリ,オレンジジュース,ビール,牛乳,炭酸水
34,不良に絡まれた！どう切り抜ける？,全力土下座,狂ったフリ,ハッタリをかます,全力ダッシュ逃げ,弱いやつを人質に,金を渡す,泣き落とし
